x,y,z,force1_x,force2_x,force3_x
0.65,3.85,-100.800656601,-0.964047983,3.18e-05,0.964016183
0.65,3.9,-100.800653769,-0.964044445,2.8156e-05,0.964016289
0.65,3.95,-100.800651258,-0.964041498,2.5143e-05,0.964016355
0.65,4.0,-100.800648995,-0.964039275,2.2815e-05,0.964016461
0.7,0.5,-100.59091494,-0.149866116,-0.687178223,0.837044339
0.7,0.55,-100.647773091,-0.285981496,-0.525279861,0.811261356
0.7,0.6,-100.69156994,-0.379830437,-0.407830089,0.787660527
0.7,0.65,-100.725798012,-0.445443844,-0.320897185,0.766341029
0.7,0.7,-100.752883794,-0.491853343,-0.255431427,0.74728477
0.7,0.75,-100.774550822,-0.525017845,-0.205371826,0.730389671
0.7,0.8,-100.792046627,-0.548944293,-0.166566894,0.715511187
0.7,0.85,-100.806289667,-0.566373388,-0.136116262,0.702489649
0.7,0.9,-100.817966283,-0.579207774,-0.111951982,0.691159756
0.7,0.95,-100.827595823,-0.588781183,-0.092572687,0.68135387
0.7,1.0,-100.835575626,-0.596031285,-0.07687456,0.672905844
0.7,1.05,-100.842212998,-0.601614998,-0.064040494,0.665655491
0.7,1.1,-100.847748423,-0.605989893,-0.053462528,0.65945242
0.7,1.15,-100.852372568,-0.609472815,-0.044685851,0.654158666
0.7,1.2,-100.856238658,-0.612282969,-0.037367012,0.649649981
0.7,1.25,-100.859471469,-0.614573523,-0.031242632,0.645816154
0.7,1.3,-100.862173761,-0.616453292,-0.026107121,0.642560413
0.7,1.35,-100.864430943,-0.61800223,-0.021796346,0.639798575
0.7,1.4,-100.866314419,-0.619280977,-0.018176754,0.637457731
0.7,1.45,-100.867884125,-0.620337227,-0.01513792,0.635475147
0.7,1.5,-100.869190425,-0.621209796,-0.0125871,0.633796896
0.7,1.55,-100.870275657,-0.621930231,-0.010446691,0.632376922
0.7,1.6,-100.871175399,-0.62252522,-0.008650708,0.631175928
0.7,1.65,-100.871919506,-0.623016441,-0.007144018,0.630160458
0.7,1.7,-100.872533076,-0.623421731,-0.005880511,0.629302242
0.7,1.75,-100.873037177,-0.62375622,-0.004820994,0.628577213
0.7,1.8,-100.87344953,-0.624031401,-0.00393368,0.62796508
0.7,1.85,-100.873785107,-0.624257056,-0.003191629,0.627448684
0.7,1.9,-100.874056501,-0.624441674,-0.002571715,0.627013389
0.7,1.95,-100.874274364,-0.624591038,-0.002055798,0.626646836
0.7,2.0,-100.874447764,-0.624710485,-0.00162798,0.626338465
0.7,2.05,-100.874584328,-0.624805243,-0.001273975,0.626079218
0.7,2.1,-100.874690494,-0.624878485,-0.000982979,0.625861464
0.7,2.15,-100.874771775,-0.624932974,-0.000745656,0.62567863
0.7,2.2,-100.874832795,-0.624972456,-0.000552622,0.625525078
0.7,2.25,-100.874877371,-0.624999368,-0.000396661,0.625396029
0.7,2.3,-100.874908756,-0.625014868,-0.00027254,0.625287409
0.7,2.35,-100.874929702,-0.625021066,-0.000174698,0.625195763
0.7,2.4,-100.874942417,-0.625020702,-9.7537e-05,0.625118239
0.7,2.45,-100.874948673,-0.625014947,-3.7537e-05,0.625052484
0.7,2.5,-100.874949972,-0.625004344,7.836e-06,0.624996508
0.7,2.55,-100.874947556,-0.624990373,4.17e-05,0.624948673
0.7,2.6,-100.87494235,-0.624975019,6.7322e-05,0.624907697
0.7,2.65,-100.874935041,-0.62495889,8.6341e-05,0.624872549
0.7,2.7,-100.87492622,-0.624941778,9.9442e-05,0.624842335
0.7,2.75,-100.874916402,-0.624924008,0.000107709,0.624816299
0.7,2.8,-100.874905967,-0.62490662,0.000112765,0.624793855
0.7,2.85,-100.874895158,-0.624890278,0.000115704,0.624774574
0.7,2.9,-100.874884166,-0.624874711,0.000116622,0.624758089
0.7,2.95,-100.874873183,-0.624859565,0.000115556,0.624744009
